"Species","Site","Tree","Fruit","Fruit_Vol_mm3","body_size_mm"
"SO1","S96","T34","F4",4593.82,2.159
"SO1","S96","T36","F9",1538.6,2.08
"SO1","S113","T4M","F13",2419.89,2.075
"SO1","S113","T4N","F17",1436.03,1.482
"SO1","S172","T2","F6",2277.55,1.835
"SO1","S172","T6","F4",1230.88,1.964
"SO1","S172","T4","F14",1607.68,2.024
"SO1","S172","T30","F25",828.96,1.692
"SO1","S158","T6A","F14",523.33,2.081
"SO1","S158","T29","F34",1992.85,1.983
"SO1","S70","T201","F1",1978.2,1.916
"SO1","S70","T56","F2",3560.76,1.98
"SO1","S70","T58","F7",1333.45,1.91
"SO1","S70","T38","F14",1992.85,1.895
"SO1","S96","T34","F6",3684.27,2.064
"SO1","S96","T36","F1",1648.5,2.092
"SO1","S113","T01","F4",3736.6,2.077
