"","mpg","wt"
"Mazda RX4",21,1.188
"Mazda RX4 Wag",21,1.304
"Datsun 710",22.8,1.052
"Hornet 4 Drive",21.4,1.458
"Hornet Sportabout",18.7,1.56
"Valiant",18.1,1.569
"Duster 360",14.3,1.619
"Merc 240D",24.4,1.447
"Merc 230",22.8,1.429
"Merc 280",19.2,1.56
"Merc 280C",17.8,1.56
"Merc 450SE",16.4,1.846
"Merc 450SL",17.3,1.692
"Merc 450SLC",15.2,1.715
"Cadillac Fleetwood",10.4,2.381
"Lincoln Continental",10.4,2.46
"Chrysler Imperial",14.7,2.424
"Fiat 128",32.4,0.998
"Honda Civic",30.4,0.733
"Toyota Corolla",33.9,0.832
"Toyota Corona",21.5,1.118
"Dodge Challenger",15.5,1.597
"AMC Javelin",15.2,1.558
"Camaro Z28",13.3,1.742
"Pontiac Firebird",19.2,1.744
"Fiat X1-9",27.3,0.878
"Porsche 914-2",26,0.971
"Lotus Europa",30.4,0.686
"Ford Pantera L",15.8,1.438
"Ferrari Dino",19.7,1.256
"Maserati Bora",15,1.619
"Volvo 142E",21.4,1.261
